degree,top_job_roles,top_skills
Bachelor of Commerce (Finance and Accountancy),"Financial Analyst, Portfolio Manager, Investment Banker","Financial Modeling, Valuations, Excel, Macroeconomics, Ethics"
Bachelor of Financial Markets (BFM),"Equity Research Analyst, Stock Broker, Risk Manager","Derivatives, Market Analysis, Trading Systems, Financial Literacy, Resilience"
Bachelor of Banking and Insurance (BBI),"Bank Manager, Loan Officer, Insurance Underwriter","Credit Analysis, Risk Assessment, Retail Banking, Banking Software, Customer Service"
Bachelor of Business Administration (International Business),"Export Manager, Global Logistics Coordinator, Trade Analyst","International Trade Laws, Forex Management, Cross-cultural Communication, Logistics"
Bachelor of Commerce (Digital Marketing),"SEO Specialist, Social Media Manager, Performance Marketer","Google Ads, Content Strategy, Web Analytics, Creative Writing, Data Analysis"
Bachelor of Business Administration (HR Management),"HR Generalist, Recruiter, Training Coordinator","Talent Acquisition, Employee Relations, Labor Laws, Communication, Empathy"
Bachelor of Business Administration (Supply Chain Management),"Logistics Manager, Procurement Officer, Demand Planner","Agile Supply Chain, Lean Management, Vendor Relations, Inventory Control, Problem Solving"
Bachelor of Commerce (Information Technology),"IT Auditor, Database Administrator, Systems Analyst","SQL, ERP Systems, Business Intelligence, Network Management, Problem Solving"
Bachelor of Commerce (Actuarial Science),"Actuary, Risk Consultant, Product Pricing Analyst","Probability, Financial Mathematics, Statistical Modeling, R Programming, Precision"
Bachelor of Business Administration (Entrepreneurship),"Startup Founder, Product Manager, Business Developer","Business Model Canvas, Lean Startup, Funding Strategies, Networking, Growth Hacking"
Bachelor of Arts (Economics),"Economic Consultant, Data Researcher, Policy Analyst","Econometrics, Microeconomics, R Programming, Analytical Writing, Forecasting"
Bachelor of Arts (Psychology),"Counselor, HR Specialist, Behavioral Analyst","Empathy, Active Listening, Cognitive Science, Research Methods, Psychology"
Bachelor of Laws (LLB),"Corporate Lawyer, Legal Consultant, Litigator","Legal Research, Drafting, Advocacy, Negotiation, Constitutional Law"
Bachelor of Design (BDes),"UX Designer, Graphic Designer, Product Designer","Adobe Creative Suite, Figma, Visual Design, Prototyping, Empathy"
Bachelor of Arts (Journalism),"News Reporter, Content Editor, PR Specialist","Reporting, Editing, Digital Media, Communication, Ethics"
Bachelor of Arts (Sociology),"Social Worker, Policy Researcher, Community Leader","Qualitative Research, Social Theory, Data Interpretation, Communication, Cultural Awareness"
Bachelor of Arts (Political Science),"Political Analyst, Policy Advisor, Legislative Assistant","Political Theory, Governance Systems, Research, Public Speaking, Analytical Writing"
Bachelor of Arts (History),"Museum Curator, Archivist, History Teacher","Historical Research, Critical Thinking, Preservation, Documentation, Narrative Writing"
Bachelor of Arts (English Literature),"Copywriter, Content Strategist, Editor","Literary Analysis, Creative Writing, Editing, Communication, Critical Thinking"
Bachelor of Fine Arts (BFA),"Visual Artist, Art Director, Illustrator","Painting, Digital Illustration, Design Principles, Creativity, Art History"
Bachelor of Mass Media (BMM),"Media Planner, PR Executive, Event Manager","Mass Communication, Media Ethics, Brand Management, Public Relations, Creativity"
Bachelor of Arts (Public Administration),"Administrative Officer, Policy Consultant, Compliance Manager","Public Policy, Governance, Leadership, Organizational Behavior, Ethics"
Bachelor of Science (Hospitality & Hotel Administration),"Hotel Manager, Front Office Executive, Event Planner","Customer Service, Operations Management, Multitasking, Culinary Arts, Leadership"
Bachelor of Arts (Criminology),"Criminologist, Security Consultant, Parole Officer","Criminal Psychology, Law Enforcement, Research, Legal Ethics, Observation"
Bachelor of Arts (Geography),"GIS Analyst, Urban Planner, Cartographer","GIS Software, Spatial Analysis, Remote Sensing, Environmental Science, Mapping"
